time_added,resolved_title,resolved_url,excerpt
2022-02-27,‘Isn’t this the role of government?’: Peter Dutton panned for setting up fundraiser for flood victims,https://www.theguardian.com/australia-news/2022/feb/27/isnt-this-the-role-of-government-peter-dutton-panned-for-setting-up-fundraiser-for-flood-victims,"Critics mock on social media but Scott Morrison says he doesn’t understand backlash Get our free news app; get our morning email briefingPeter Dutton has been criticised for setting up a GoFundMe page for a flood-affected Queensland community, with one Labor MP suggesting it proved the Coalition was incompetent and couldn’t deliver commonwealth support.The prime minister, Scott Morrison, said on Sunday evening he did “not understand” the backlash to the fundraiser set up by the defence minister for the Pine Rivers community in his electorate."
2022-02-27,Australia to provide ‘lethal aid’ to Ukraine as it fights invading Russian troops,https://www.theguardian.com/australia-news/2022/feb/27/labor-warns-china-it-should-not-take-comfort-from-russian-invasion-of-ukraine,"Prime minister says Moscow ‘must pay a heavy price’ after Labor warns China it should not ‘take comfort’ from attack on UkraineRussia-Ukraine war latest news: follow live updatesGet our free news app; get our morning email briefingThe prime minister, Scott Morrison, has announced that Australia will provide funds for “lethal aid” to Ukraine’s war effort, saying “nothing is off the table” in response to the Russian invasion.Australia’s commitment was previously restricted to non-lethal military equipment, but on Sunday, Morrison said the government would increase its financial support to Nato to fund the supply of weapons for Ukrainian forces."
2022-02-26,Covid vaccines for children: how many doses are needed and what happens if they’ve been infected or are under five?,https://www.theguardian.com/australia-news/2022/feb/27/explainer-when-will-covid-vaccines-be-available-for-children-under-five,"Making sure adults and older children are vaccinated, as well as mask wearing and social distancing, is the best thing to do if worried about under-fives not being eligible, expert saysFollow our Australia news live blog for the latest updatesGet our free news app; get our morning email briefingChildren under the age of five are not yet able to be vaccinated against Covid leaving some parents worried their younger children could catch the virus from older siblings who have returned to school.Less than 50% of children aged five to 11 have received their first vaccine dose. But it is hoped child vaccination rates will be bolstered by Australia becoming the first country to approve the Moderna vaccine for children aged six and over. Pfizer continues to be available to children aged five and over."
2022-02-26,"The idea of Australia: forgotten history, power for power’s sake and the collapse of the egalitarian myth",https://www.theguardian.com/australia-news/2022/feb/27/the-idea-of-australia-forgotten-history-power-for-powers-sake-and-the-collapse-of-the-egalitarian-myth,"In this extract from her book, Julianne Schultz says the topography of an evolving national identity reveals peaks of great change and long valleys of fearful, censorious complacencyStories make us fully and uniquely human. They are the way we make sense of the world, our lives and relationships. They may not always be true, completely, or even substantially. They may be tinged with hyperbole and hope, fiercely contested or modified by hand-me-down retelling. Key characters and memories are conveniently or painfully lost in the miasma of pride, shame and trauma. But the best stories retain a flicker of emotional truth, a resonance that outlives the events, people and places they describe. The questions they raise are, as the philosopher Richard Rorty observed, “part of the process of deciding what we will do next, what we will try to become”. Some provide the key to atonement, others a safe or challenging place to consider the lessons of the past. Others, over time, make the journey to myth, where they console and distract from more confronting truths.This applies to nations as well as individuals, families and communities. Stories “underlie the necessary fiction that is ‘us’”, the Irish commentator Fintan O’Toole wrote as he pondered what is the Irish story. The challenge is to allow multiple stories. Identity is not an either/or. It is possible to be attached to different places, beliefs and ways of being at the same time. To share an inner life with others of a complex place where belonging, not exclusion, prevails."
2022-02-26,"Victoria records 15 Covid deaths, NSW 11 and Qld eight; flood fatalities – as it happened",https://www.theguardian.com/australia-news/live/2022/feb/26/australia-live-news-updates-queensland-flood-fatalities-as-parts-of-state-hit-by-worst-rain-in-decades,"Two people, including an SES volunteer, have died after being swept away in Queensland flood waters, bringing the toll to four. This blog is now closedFollow the latest news on Russia’s invasion of UkraineAustralia to sanction Putin, with expulsion of diplomats a ‘live option’SES worker killed in Queensland floods and part of Gympie evacuatedAustralia records 35 Covid deaths as WA reports highest cases of pandemicGet our free news app; get our morning email briefingLeach says people are ignoring warnings to not drive through floodwaters. Unfortunately, not. We keep saying,” If it’s flooded forget it.” Please don’t drive through. You don’t know how deep it is, how swift it is, you don’t know what’s underneath those waters. We’ve had over 80 rescues of people. Our message is really clear: Please don’t drive through floodwaters. Back it up, find an alternate route.For us it is anywhere south of Hervey Bay through to the Gold Coast and west to Toowoomba, south of South East Queensland is completely saturated and there is no signs of this system letting up any time soon. We’ve just responded in the last hour to Noosa- we put out an emergency alert - a very big thunderstorm (is passing) over the Noosa area and we are now responding to requests for assistance up there. But we are still busy in the Lockyer Valley, Ipswich, northern Brisbane suburbs but it could happen anywhere."
2022-02-25,Australia plans to join allies in personally sanctioning Putin and says expulsion of Russian diplomats a ‘live option’,https://www.theguardian.com/australia-news/2022/feb/26/australia-russia-ukraine-vladimir-putin-sergei-lavrov,"Marise Payne flags further action over Russia’s invasion of Ukraine after allies announce they will personally sanction Vladimir Putin and Russia’s foreign affairs minister, Sergei LavrovFollow our coverage of Russia’s invasion of UkraineGet our free news app; get our morning email briefingAustralia plans to join its allies in personally sanctioning Vladimir Putin and the Russian foreign affairs minister over the full-scale invasion of Ukraine – but says it will not expel Russian diplomats from the country at this stage.The government flagged the move amid growing fears of an all-out Russian assault on Ukraine’s capital, Kyiv, and as Russia used its veto power to block a UN security council resolution deploring the invasion."
2022-02-25,"From a China frenzy to casual transphobia, PM is on the hunt for disaffected but highly motivated voters | Katharine Murphy",https://www.theguardian.com/australia-news/2022/feb/26/from-a-china-frenzy-to-casual-transphobia-pm-is-on-the-hunt-for-disaffected-but-highly-motivated-voters,"Scott Morrison has spent the past week hot on the trail of two wars – one lethal, the other cultural – as he tries to sniff out a path to election victoryGet our free news app; get our morning email briefing If you watch politics closely, you’ll recall this moment. In 2018, Scott Morrison draped his arm around Malcolm Turnbull and declared: “This is my leader and I’m ambitious for him!” Two days later, Turnbull was out and Morrison was prime minister.That moment popped into my head this week as I watched Morrison out on the hustings in Tasmania. The more recent circumstances were quite different, but the vibe was similar."
2022-02-25,Greens target Queensland as new battleground in balance of power bid,https://www.theguardian.com/australia-news/2022/feb/26/greens-target-queensland-as-new-battleground-in-balance-of-power-bid,"Adam Bandt is optimistic about the 2022 election despite the challenge of climate-focused independents and a resurgent LaborGet our free news app; get our morning email briefingWith opinion polls pointing to a Labor election win, and climate-focused independents occupying political space the Greens usually dominate, the minor party’s leader, Adam Bandt, has a tough ask.He tells voters his party is the package deal this election."
2022-02-25,Australia has virtually zero economic leverage over Moscow,https://www.theguardian.com/australia-news/2022/feb/25/australia-has-virtually-zero-economic-leverage-over-moscow,"Experts say Australia has few options for sanctions against Russia given the negligible trade between the two nationsRussia-Ukraine war latest news: follow live updatesDownload the free Guardian app; get our morning email briefingAustralia has vowed to keep ratcheting up sanctions in response to Russia’s invasion of Ukraine – but it has virtually zero economic leverage over Moscow.Trade figures make that clear: Australia was 94th on the list of Russia’s main export destinations before the pandemic upended the world, which the Department of Foreign Affairs and Trade rounded down to 0.0% of Russia’s exports.Sign up to receive an email with the top stories from Guardian Australia every morning"
2022-02-25,Reprieve for NSW Liberal party as court ruling provides a month to sort out preselections,https://www.theguardian.com/australia-news/2022/feb/25/reprieve-for-nsw-liberal-party-as-court-ruling-provides-a-month-to-sort-out-preselections,"State branch no longer has to rely on federal intervention – but that doesn’t mean the federal division has given up on influencing selectionsGet our free news app; get our morning email briefingThe New South Wales Liberal division will have another month to solve its deadlock on selecting candidates for the federal election and hold an annual general meeting – but it is still possible that the federal division could step in next week.Matthew Camenzuli, a member of the NSW state executive of the Liberal party, has won his case in the supreme court, which means the state executive remains validly elected until at least 28 March.Sign up to receive an email with the top stories from Guardian Australia every morning"
